PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
128,Manhattan,Inwood Hill Park,327,41604,554,514
129,Queens,Jackson Heights,72346,1111307,29615,12827
130,Queens,Jamaica,11918,926667,29415,7704
131,Queens,Jamaica Estates,5065,210882,2764,2102
132,Queens,JFK Airport,29402,1282145,233,630370
133,Brooklyn,Kensington,7291,299573,2053,2567
134,Queens,Kew Gardens,7552,290256,11844,3283
135,Queens,Kew Gardens Hills,5614,242662,2149,2663
136,Bronx,Kingsbridge Heights,8141,516317,5135,3941
137,Manhattan,Kips Bay,16330,888779,1480,387118
138,Queens,LaGuardia Airport,18068,1255660,189,406656
139,Queens,Laurelton,2843,266806,1995,2410
140,Manhattan,Lenox Hill East,13280,965478,1839,578574
141,Manhattan,Lenox Hill West,7217,920756,558,688205
142,Manhattan,Lincoln Square East,4813,842484,318,747187
143,Manhattan,Lincoln Square West,2947,712376,251,318466
144,Manhattan,Little Italy/NoLiTa,5145,837982,167,191433
145,Queens,Long Island City/Hunters Point,4979,900864,8619,31618
146,Queens,Long Island City/Queens Plaza,8984,350440,4886,22665
147,Bronx,Longwood,7061,436957,2580,2295
148,Manhattan,Lower East Side,3301,1142820,155,235807
149,Brooklyn,Madison,24460,328404,1995,1894
