Zone,matched_demographic_region,PULocationID,TimeFrame,Data,match_score,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
greenwich village south,greenwich village,114,2021.0,87436.43239,95.0,114,Manhattan,greenwich village south,5352,1062567,60,334034
heartland village/todt hill,greenwich village,118,2021.0,87436.43239,86.0,118,Staten Island,heartland village/todt hill,9918,179914,84,204
highbridge,concourse/highbridge,119,2021.0,145325.0,90.0,119,Bronx,highbridge,10180,652285,4017,3434
highbridge park,park slope,120,2021.0,117511.0,86.0,120,Manhattan,highbridge park,103,17868,212,342
howard beach,howard beach,124,2021.0,156106.0,100.0,124,Queens,howard beach,2032,241258,662,1582
hunts point,hunts point,126,2021.0,57993.5216,100.0,126,Bronx,hunts point,7193,586685,1744,1861
inwood hill park,park slope,128,2021.0,117511.0,86.0,128,Manhattan,inwood hill park,330,44954,415,578
jackson heights,jackson heights,129,2021.0,153743.0,100.0,129,Queens,jackson heights,70793,1335857,13191,11088
kips bay,sheepshead bay,137,2021.0,159185.0,86.0,137,Manhattan,kips bay,16171,1065218,1442,473197
lincoln square east,east harlem,142,2021.0,123582.0,86.0,142,Manhattan,lincoln square east,6164,1117480,381,989927
long island city/hunters point,hunts point,145,2021.0,57993.5216,86.0,145,Queens,long island city/hunters point,3852,1216116,3204,29884
long island city/queens plaza,queens,146,2021.0,2331143.0,90.0,146,Queens,long island city/queens plaza,5952,455671,2436,20570
lower east side,lower east side,148,2021.0,141066.0,100.0,148,Manhattan,lower east side,7448,1644757,166,260844
manhattan beach,manhattan,150,2021.0,1576876.0,90.0,150,Brooklyn,manhattan beach,9340,185819,915,1010
manhattan valley,manhattan,151,2021.0,1576876.0,90.0,151,Manhattan,manhattan valley,3832,563220,1044,348882
manhattanville,manhattanville,152,2021.0,118426.0,100.0,152,Manhattan,manhattanville,7300,417451,7817,32964
marble hill,murray hill/stuyvesant,153,2021.0,144396.0,86.0,153,Manhattan,marble hill,1170,192806,979,937
