Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
zip code 11235,,264,,zip code 11235,2017,Number,80222.0,11235,264,Unknown,,16865242,2382,11929,787156
zip code 11236,,264,,zip code 11236,2017,Number,100633.0,11236,264,Unknown,,16865242,2382,11929,787156
zip code 11237,,264,,zip code 11237,2017,Number,52319.0,11237,264,Unknown,,16865242,2382,11929,787156
zip code 11238,,264,,zip code 11238,2017,Number,55398.0,11238,264,Unknown,,16865242,2382,11929,787156
zip code 11239,,264,,zip code 11239,2017,Number,12713.0,11239,264,Unknown,,16865242,2382,11929,787156
zip code 11354,,264,,zip code 11354,2017,Number,57566.0,11354,264,Unknown,,16865242,2382,11929,787156
zip code 11355,,264,,zip code 11355,2017,Number,82890.0,11355,264,Unknown,,16865242,2382,11929,787156
zip code 11356,,264,,zip code 11356,2017,Number,24069.0,11356,264,Unknown,,16865242,2382,11929,787156
zip code 11357,,264,,zip code 11357,2017,Number,41393.0,11357,264,Unknown,,16865242,2382,11929,787156
zip code 11358,,264,,zip code 11358,2017,Number,36959.0,11358,264,Unknown,,16865242,2382,11929,787156
zip code 11359,,264,,zip code 11359,2017,Number,0.0,11359,264,Unknown,,16865242,2382,11929,787156
zip code 11360,,264,,zip code 11360,2017,Number,19501.0,11360,264,Unknown,,16865242,2382,11929,787156
zip code 11361,,264,,zip code 11361,2017,Number,29072.0,11361,264,Unknown,,16865242,2382,11929,787156
zip code 11362,,264,,zip code 11362,2017,Number,18443.0,11362,264,Unknown,,16865242,2382,11929,787156
zip code 11363,,264,,zip code 11363,2017,Number,7423.0,11363,264,Unknown,,16865242,2382,11929,787156
zip code 11364,,264,,zip code 11364,2017,Number,35885.0,11364,264,Unknown,,16865242,2382,11929,787156
zip code 11365,,264,,zip code 11365,2017,Number,45565.0,11365,264,Unknown,,16865242,2382,11929,787156
zip code 11366,,264,,zip code 11366,2017,Number,14308.0,11366,264,Unknown,,16865242,2382,11929,787156
zip code 11367,,264,,zip code 11367,2017,Number,43496.0,11367,264,Unknown,,16865242,2382,11929,787156
zip code 11368,,264,,zip code 11368,2017,Number,114647.0,11368,264,Unknown,,16865242,2382,11929,787156
zip code 11369,,264,,zip code 11369,2017,Number,37325.0,11369,264,Unknown,,16865242,2382,11929,787156
zip code 11370,,264,,zip code 11370,2017,Number,33789.0,11370,264,Unknown,,16865242,2382,11929,787156
zip code 11371,,264,,zip code 11371,2017,Number,0.0,11371,264,Unknown,,16865242,2382,11929,787156
zip code 11372,,264,,zip code 11372,2017,Number,64298.0,11372,264,Unknown,,16865242,2382,11929,787156
zip code 11373,,264,,zip code 11373,2017,Number,96353.0,11373,264,Unknown,,16865242,2382,11929,787156
zip code 11374,,264,,zip code 11374,2017,Number,43540.0,11374,264,Unknown,,16865242,2382,11929,787156
zip code 11375,,264,,zip code 11375,2017,Number,72937.0,11375,264,Unknown,,16865242,2382,11929,787156
zip code 11377,,264,,zip code 11377,2017,Number,89688.0,11377,264,Unknown,,16865242,2382,11929,787156
zip code 11378,,264,,zip code 11378,2017,Number,35844.0,11378,264,Unknown,,16865242,2382,11929,787156
zip code 11379,,264,,zip code 11379,2017,Number,37524.0,11379,264,Unknown,,16865242,2382,11929,787156
zip code 11385,,264,,zip code 11385,2017,Number,106598.0,11385,264,Unknown,,16865242,2382,11929,787156
zip code 11411,,264,,zip code 11411,2017,Number,19990.0,11411,264,Unknown,,16865242,2382,11929,787156
zip code 11412,,264,,zip code 11412,2017,Number,38833.0,11412,264,Unknown,,16865242,2382,11929,787156
zip code 11413,,264,,zip code 11413,2017,Number,42895.0,11413,264,Unknown,,16865242,2382,11929,787156
zip code 11414,,264,,zip code 11414,2017,Number,29203.0,11414,264,Unknown,,16865242,2382,11929,787156
zip code 11415,,264,,zip code 11415,2017,Number,19900.0,11415,264,Unknown,,16865242,2382,11929,787156
zip code 11416,,264,,zip code 11416,2017,Number,27567.0,11416,264,Unknown,,16865242,2382,11929,787156
zip code 11417,,264,,zip code 11417,2017,Number,32425.0,11417,264,Unknown,,16865242,2382,11929,787156
zip code 11418,,264,,zip code 11418,2017,Number,39267.0,11418,264,Unknown,,16865242,2382,11929,787156
zip code 11419,,264,,zip code 11419,2017,Number,52392.0,11419,264,Unknown,,16865242,2382,11929,787156
zip code 11420,,264,,zip code 11420,2017,Number,49396.0,11420,264,Unknown,,16865242,2382,11929,787156
zip code 11421,,264,,zip code 11421,2017,Number,43567.0,11421,264,Unknown,,16865242,2382,11929,787156
zip code 11422,,264,,zip code 11422,2017,Number,33479.0,11422,264,Unknown,,16865242,2382,11929,787156
zip code 11423,,264,,zip code 11423,2017,Number,32407.0,11423,264,Unknown,,16865242,2382,11929,787156
zip code 11426,,264,,zip code 11426,2017,Number,21166.0,11426,264,Unknown,,16865242,2382,11929,787156
zip code 11427,,264,,zip code 11427,2017,Number,23809.0,11427,264,Unknown,,16865242,2382,11929,787156
zip code 11428,,264,,zip code 11428,2017,Number,19859.0,11428,264,Unknown,,16865242,2382,11929,787156
zip code 11429,,264,,zip code 11429,2017,Number,27667.0,11429,264,Unknown,,16865242,2382,11929,787156
zip code 11430,,264,,zip code 11430,2017,Number,183.0,11430,264,Unknown,,16865242,2382,11929,787156
zip code 11432,,264,,zip code 11432,2017,Number,65098.0,11432,264,Unknown,,16865242,2382,11929,787156
zip code 11433,,264,,zip code 11433,2017,Number,36019.0,11433,264,Unknown,,16865242,2382,11929,787156
zip code 11434,,264,,zip code 11434,2017,Number,66725.0,11434,264,Unknown,,16865242,2382,11929,787156
zip code 11435,,264,,zip code 11435,2017,Number,59214.0,11435,264,Unknown,,16865242,2382,11929,787156
zip code 11436,,264,,zip code 11436,2017,Number,20905.0,11436,264,Unknown,,16865242,2382,11929,787156
zip code 11691,,264,,zip code 11691,2017,Number,65356.0,11691,264,Unknown,,16865242,2382,11929,787156
zip code 11692,,264,,zip code 11692,2017,Number,20242.0,11692,264,Unknown,,16865242,2382,11929,787156
zip code 11693,,264,,zip code 11693,2017,Number,12709.0,11693,264,Unknown,,16865242,2382,11929,787156
zip code 11694,,264,,zip code 11694,2017,Number,21003.0,11694,264,Unknown,,16865242,2382,11929,787156
zip code 11697,,264,,zip code 11697,2017,Number,3702.0,11697,264,Unknown,,16865242,2382,11929,787156
battery park/tribeca,battery park,12,90.0,battery park/tribeca,2018,Number,61375.7862,101,12,Manhattan,battery park,4256,39074,22,37004
greenwich village,greenwich village north,113,95.0,greenwich village,2018,Number,90603.2138,102,113,Manhattan,greenwich village north,156572,1727813,250,1278135
lower east side,lower east side,148,100.0,lower east side,2018,Number,155408.0,103,148,Manhattan,lower east side,248540,2718879,191,1034964
chelsea/clinton,west chelsea/hudson yards,246,86.0,chelsea/clinton,2018,Number,110265.3774,104,246,Manhattan,west chelsea/hudson yards,243906,2552153,160,1384492
midtown business district,garment district,100,86.0,midtown business district,2018,Number,55186.62257,105,100,Manhattan,garment district,176155,1535202,298,1727069
murray hill/stuyvesant,murray hill,170,90.0,murray hill/stuyvesant,2018,Number,143582.0,106,170,Manhattan,murray hill,261846,2596247,946,2607781
upper west side,upper west side north,238,95.0,upper west side,2018,Number,191222.0,107,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2018,Number,204469.0,108,236,Manhattan,upper east side north,203313,1955678,13392,3293443
manhattanville,manhattanville,152,100.0,manhattanville,2018,Number,145440.0,109,152,Manhattan,manhattanville,57572,557132,45774,83986
central harlem,central harlem,41,100.0,central harlem,2018,Number,146309.0,110,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2018,Number,110800.0,111,74,Manhattan,east harlem north,165358,1694788,468595,328911
washington heights,washington heights north,243,95.0,washington heights,2018,Number,214040.0,112,243,Manhattan,washington heights north,117614,1286964,32739,16243
mott haven,mott haven/port morris,168,90.0,mott haven,2018,Number,104393.1356,201,168,Bronx,mott haven/port morris,128468,1184906,23668,20186
hunts point,hunts point,126,100.0,hunts point,2018,Number,59609.8644,202,126,Bronx,hunts point,54238,608626,7476,2454
morrisania,morrisania/melrose,167,90.0,morrisania,2018,Number,85841.38792,203,167,Bronx,morrisania/melrose,89706,802828,12192,4256
concourse/highbridge,highbridge,119,90.0,concourse/highbridge,2018,Number,136636.0,204,119,Bronx,highbridge,83119,808319,12303,5157
university heights,university heights/morris heights,235,90.0,university heights,2018,Number,139732.0,205,235,Bronx,university heights/morris heights,105557,1064266,15893,6377
east tremont,east tremont,78,100.0,east tremont,2018,Number,89614.61208,206,78,Bronx,east tremont,94899,884432,12885,4295
bedford park,bedford park,18,100.0,bedford park,2018,Number,133784.0,207,18,Bronx,bedford park,100294,1024049,12673,3318
riverdale,riverdale/north riverdale/fieldston,200,90.0,riverdale,2018,Number,119846.0,208,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
unionport/soundview,westchester village/unionport,250,86.0,unionport/soundview,2018,Number,182874.0,209,250,Bronx,westchester village/unionport,45609,484119,10913,3750
throgs neck,,264,,throgs neck,2018,Number,119071.0,210,264,Unknown,,16865242,2382,11929,787156
pelham parkway,pelham parkway,185,100.0,pelham parkway,2018,Number,124931.0,211,185,Bronx,pelham parkway,65054,619082,10120,2753
williamsbridge,williamsbridge/olinville,254,90.0,williamsbridge,2018,Number,135799.0,212,254,Bronx,williamsbridge/olinville,95198,920037,16772,5804
williamsburg/greenpoint,greenpoint,112,90.0,williamsburg/greenpoint,2018,Number,162381.0,301,112,Brooklyn,greenpoint,168721,2001180,32694,24855
fort greene/brooklyn hts,fort greene,97,90.0,fort greene/brooklyn hts,2018,Number,145843.0,302,97,Brooklyn,fort greene,152662,1653143,168486,68402
bedford stuyvesant,bedford,17,90.0,bedford stuyvesant,2018,Number,155117.0,303,17,Brooklyn,bedford,187134,2071716,41662,16853
bushwick,bushwick north,36,90.0,bushwick,2018,Number,121188.0,304,36,Brooklyn,bushwick north,200579,1950479,15110,7955
east new york,east new york,76,100.0,east new york,2018,Number,171170.0,305,76,Brooklyn,east new york,178985,2093773,41656,19623
park slope,park slope,181,100.0,park slope,2018,Number,116351.0,306,181,Brooklyn,park slope,235912,2407999,117060,68533
sunset park,sunset park east,227,95.0,sunset park,2018,Number,132875.0,307,227,Brooklyn,sunset park east,58310,497088,6776,3211
crown heights north,crown heights north,61,100.0,crown heights north,2018,Number,136367.0,308,61,Brooklyn,crown heights north,321523,3357869,66409,25251
crown heights south,crown heights south,62,100.0,crown heights south,2018,Number,111448.0,309,62,Brooklyn,crown heights south,85765,887772,17999,7912
bay ridge,bay ridge,14,100.0,bay ridge,2018,Number,125200.0,310,14,Brooklyn,bay ridge,106173,1176998,20438,9025
bensonhurst,bensonhurst east,21,95.0,bensonhurst,2018,Number,186850.0,311,21,Brooklyn,bensonhurst east,57899,555697,8927,3691
borough park,borough park,26,100.0,borough park,2018,Number,138570.0,312,26,Brooklyn,borough park,102890,1065609,15046,7173
coney island,coney island,55,100.0,coney island,2018,Number,113339.0,313,55,Brooklyn,coney island,47213,440761,26044,4074
flatbush/midwood,midwood,165,90.0,flatbush/midwood,2018,Number,154833.0,314,165,Brooklyn,midwood,69800,668288,14738,6510
sheepshead bay,sheepshead bay,210,100.0,sheepshead bay,2018,Number,158213.0,315,210,Brooklyn,sheepshead bay,67583,682463,30733,5291
brownsville,brownsville,35,100.0,brownsville,2018,Number,122128.0,316,35,Brooklyn,brownsville,114400,1281724,26012,10946
east flatbush,east flatbush/farragut,71,90.0,east flatbush,2018,Number,135931.0,317,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie,canarsie,39,100.0,canarsie,2018,Number,195026.0,318,39,Brooklyn,canarsie,146173,1610372,26058,11762
astoria,astoria,7,100.0,astoria,2018,Number,160871.0,401,7,Queens,astoria,268194,2284990,250356,119932
sunnyside/woodside,sunnyside,226,90.0,sunnyside/woodside,2018,Number,137490.0,402,226,Queens,sunnyside,134177,1345587,44931,124512
jackson heights,jackson heights,129,100.0,jackson heights,2018,Number,181787.0,403,129,Queens,jackson heights,239990,1727841,157669,43858
elmhurst/corona,corona,56,90.0,elmhurst/corona,2018,Number,150131.0,404,56,Queens,corona,134033,620094,16006,8559
elmhurst/corona,corona,57,90.0,elmhurst/corona,2018,Number,150131.0,404,57,Queens,corona,5922,49978,909,293
ridgewood/glendale,glendale,102,90.0,ridgewood/glendale,2018,Number,186441.0,405,102,Queens,glendale,67370,513503,4750,2440
rego park/forest hills,forest hills,95,90.0,rego park/forest hills,2018,Number,118105.0,406,95,Queens,forest hills,129031,1329599,182178,16698
flushing,flushing,92,100.0,flushing,2018,Number,239000.0,407,92,Queens,flushing,201025,1103231,50896,6883
fresh meadows/briarwood,fresh meadows,98,90.0,fresh meadows/briarwood,2018,Number,164615.0,408,98,Queens,fresh meadows,20766,210524,2526,1922
woodhaven,woodhaven,258,100.0,woodhaven,2018,Number,139079.0,409,258,Queens,woodhaven,54602,628227,5858,3628
howard beach,howard beach,124,100.0,howard beach,2018,Number,128937.0,410,124,Queens,howard beach,22375,267762,3661,3569
bayside,bayside,16,100.0,bayside,2018,Number,115744.0,411,16,Queens,bayside,56883,461406,4854,2769
jamaica/st. albans,jamaica,130,90.0,jamaica/st. albans,2018,Number,241539.0,412,130,Queens,jamaica,108415,1343886,110395,17661
queens village,queens village,191,100.0,queens village,2018,Number,187761.0,413,191,Queens,queens village,42584,489462,9336,5123
the rockaways,,264,,the rockaways,2018,Number,127676.0,414,264,Unknown,,16865242,2382,11929,787156
st. george,saint george/new brighton,206,86.0,st. george,2018,Number,174606.0,501,206,Staten Island,saint george/new brighton,87545,364752,487,330
south beach,south beach/dongan hills,214,90.0,south beach,2018,Number,137973.0,502,214,Staten Island,south beach/dongan hills,18593,137147,118,240
tottenville,charleston/tottenville,44,90.0,tottenville,2018,Number,163600.0,503,44,Staten Island,charleston/tottenville,15693,66190,25,397
bronx,bronx park,31,90.0,bronx,2018,Number,1432132.0,36005,31,Bronx,bronx park,12047,93036,2351,619
brooklyn,brooklyn heights,33,90.0,brooklyn,2018,Number,2582830.0,36047,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
manhattan,manhattan beach,150,90.0,manhattan,2018,Number,1628701.0,36061,150,Brooklyn,manhattan beach,28614,288166,5582,1707
queens,long island city/queens plaza,146,90.0,queens,2018,Number,2278906.0,36081,146,Queens,long island city/queens plaza,61943,602956,28213,75691
staten island,governor's island/ellis island/liberty island,105,86.0,staten island,2018,Number,476179.0,36085,105,Manhattan,governor's island/ellis island/liberty island,23,65,1,118
new york city,east new york/pennsylvania avenue,77,86.0,new york city,2018,Number,8398748.0,3651000,77,Brooklyn,east new york/pennsylvania avenue,54543,594451,10362,4263
kingsbridge - riverdale,riverdale/north riverdale/fieldston,200,86.0,kingsbridge - riverdale,2018,Number,92534.6045,uhf101,200,Bronx,riverdale/north riverdale/fieldston,36980,391415,6126,2838
northeast bronx,bronx park,31,86.0,northeast bronx,2018,Number,201521.8592,uhf102,31,Bronx,bronx park,12047,93036,2351,619
fordham - bronx park,bronx park,31,90.0,fordham - bronx park,2018,Number,261272.9038,uhf103,31,Bronx,bronx park,12047,93036,2351,619
pelham - throgs neck,pelham bay,183,86.0,pelham - throgs neck,2018,Number,304034.7755,uhf104,183,Bronx,pelham bay,20930,245435,4360,1409
crotona - tremont,,264,,crotona - tremont,2018,Number,215942.346,uhf105,264,Unknown,,16865242,2382,11929,787156
high bridge - morrisania,highbridge,119,81.0,high bridge - morrisania,2018,Number,218195.7224,uhf106,119,Bronx,highbridge,83119,808319,12303,5157
hunts point - mott haven,hunts point,126,90.0,hunts point - mott haven,2018,Number,141190.4185,uhf107,126,Bronx,hunts point,54238,608626,7476,2454
greenpoint,greenpoint,112,100.0,greenpoint,2018,Number,135943.834,uhf201,112,Brooklyn,greenpoint,168721,2001180,32694,24855
downtown  - heights - slope,arden heights,5,86.0,downtown  - heights - slope,2018,Number,259325.0256,uhf202,5,Staten Island,arden heights,8616,52190,72,393
bedford stuyvesant - crown heights,bedford,17,90.0,bedford stuyvesant - crown heights,2018,Number,325714.9825,uhf203,17,Brooklyn,bedford,187134,2071716,41662,16853
east new york,east new york,76,100.0,east new york,2018,Number,184764.4333,uhf204,76,Brooklyn,east new york,178985,2093773,41656,19623
sunset park,sunset park east,227,95.0,sunset park,2018,Number,126721.0866,uhf205,227,Brooklyn,sunset park east,58310,497088,6776,3211
borough park,borough park,26,100.0,borough park,2018,Number,337152.7623,uhf206,26,Brooklyn,borough park,102890,1065609,15046,7173
east flatbush - flatbush,east flatbush/farragut,71,95.0,east flatbush - flatbush,2018,Number,297254.5311,uhf207,71,Brooklyn,east flatbush/farragut,86477,922965,18237,7665
canarsie - flatlands,canarsie,39,90.0,canarsie - flatlands,2018,Number,204565.162,uhf208,39,Brooklyn,canarsie,146173,1610372,26058,11762
bensonhurst - bay ridge,bay ridge,14,90.0,bensonhurst - bay ridge,2018,Number,204629.6616,uhf209,14,Brooklyn,bay ridge,106173,1176998,20438,9025
coney island - sheepshead bay,coney island,55,90.0,coney island - sheepshead bay,2018,Number,288893.7477,uhf210,55,Brooklyn,coney island,47213,440761,26044,4074
williamsburg - bushwick,bushwick north,36,86.0,williamsburg - bushwick,2018,Number,217864.7734,uhf211,36,Brooklyn,bushwick north,200579,1950479,15110,7955
washington heights - inwood,inwood,127,90.0,washington heights - inwood,2018,Number,269141.8587,uhf301,127,Manhattan,inwood,72483,838342,18404,8761
central harlem - morningside heights,central harlem,41,90.0,central harlem - morningside heights,2018,Number,179078.1147,uhf302,41,Manhattan,central harlem,148752,1585162,341774,322815
east harlem,east harlem north,74,90.0,east harlem,2018,Number,113268.173,uhf303,74,Manhattan,east harlem north,165358,1694788,468595,328911
upper west side,upper west side north,238,95.0,upper west side,2018,Number,216284.081,uhf304,238,Manhattan,upper west side north,169896,1552500,868,1665383
upper east side,upper east side north,236,95.0,upper east side,2018,Number,219078.5338,uhf305,236,Manhattan,upper east side north,203313,1955678,13392,3293443
chelsea - clinton,,264,,chelsea - clinton,2018,Number,149437.6872,uhf306,264,Unknown,,16865242,2382,11929,787156
gramercy park -  murray hill,gramercy,107,90.0,gramercy park -  murray hill,2018,Number,131358.2289,uhf307,107,Manhattan,gramercy,226112,2191532,521,1899635
greenwich village - soho,soho,211,90.0,greenwich village - soho,2018,Number,84055.45177,uhf308,211,Manhattan,soho,136489,1427999,44,662188
union square - lower east side,lower east side,148,90.0,union square - lower east side,2018,Number,189305.0259,uhf309,148,Manhattan,lower east side,248540,2718879,191,1034964
lower manhattan,,264,,lower manhattan,2018,Number,60936.31176,uhf310,264,Unknown,,16865242,2382,11929,787156
long island city - astoria,astoria,7,90.0,long island city - astoria,2018,Number,208828.3062,uhf401,7,Queens,astoria,268194,2284990,250356,119932
west queens,lincoln square west,143,86.0,west queens,2018,Number,457315.6764,uhf402,143,Manhattan,lincoln square west,137050,1323677,302,984405
flushing - clearview,flushing,92,90.0,flushing - clearview,2018,Number,253235.2691,uhf403,92,Queens,flushing,201025,1103231,50896,6883
bayside - little neck,bayside,16,90.0,bayside - little neck,2018,Number,87431.63278,uhf404,16,Queens,bayside,56883,461406,4854,2769
ridgewood - forest hills,forest hills,95,90.0,ridgewood - forest hills,2018,Number,251726.0752,uhf405,95,Queens,forest hills,129031,1329599,182178,16698
fresh meadows,fresh meadows,98,100.0,fresh meadows,2018,Number,99867.41663,uhf406,98,Queens,fresh meadows,20766,210524,2526,1922
southwest queens,long island city/queens plaza,146,86.0,southwest queens,2018,Number,284964.0259,uhf407,146,Queens,long island city/queens plaza,61943,602956,28213,75691
jamaica,jamaica,130,100.0,jamaica,2018,Number,316626.5921,uhf408,130,Queens,jamaica,108415,1343886,110395,17661
southeast queens,long island city/queens plaza,146,86.0,southeast queens,2018,Number,211954.9085,uhf409,146,Queens,long island city/queens plaza,61943,602956,28213,75691
rockaway,far rockaway,86,90.0,rockaway,2018,Number,121153.0005,uhf410,86,Queens,far rockaway,45956,270070,5110,2548
port  richmond,port richmond,187,96.0,port  richmond,2018,Number,68876.59813,uhf501,187,Staten Island,port richmond,24727,108618,92,79
stapleton - st. george,stapleton,221,90.0,stapleton - st. george,2018,Number,124623.2513,uhf502,221,Staten Island,stapleton,45144,236865,247,163
willowbrook,,264,,willowbrook,2018,Number,90834.28819,uhf503,264,Unknown,,16865242,2382,11929,787156
south beach - tottenville,bath beach,11,86.0,south beach - tottenville,2018,Number,191844.8624,uhf504,11,Brooklyn,bath beach,24014,231060,4337,1718
zip code 10001,,264,,zip code 10001,2018,Number,22924.0,10001,264,Unknown,,16865242,2382,11929,787156
zip code 10002,,264,,zip code 10002,2018,Number,74993.0,10002,264,Unknown,,16865242,2382,11929,787156
zip code 10003,,264,,zip code 10003,2018,Number,54682.0,10003,264,Unknown,,16865242,2382,11929,787156
zip code 10004,,264,,zip code 10004,2018,Number,3028.0,10004,264,Unknown,,16865242,2382,11929,787156
zip code 10005,,264,,zip code 10005,2018,Number,8831.0,10005,264,Unknown,,16865242,2382,11929,787156
zip code 10006,,264,,zip code 10006,2018,Number,3454.0,10006,264,Unknown,,16865242,2382,11929,787156
zip code 10007,,264,,zip code 10007,2018,Number,7023.0,10007,264,Unknown,,16865242,2382,11929,787156
zip code 10009,,264,,zip code 10009,2018,Number,57925.0,10009,264,Unknown,,16865242,2382,11929,787156
zip code 10010,,264,,zip code 10010,2018,Number,33730.0,10010,264,Unknown,,16865242,2382,11929,787156
zip code 10011,,264,,zip code 10011,2018,Number,50472.0,10011,264,Unknown,,16865242,2382,11929,787156
zip code 10012,,264,,zip code 10012,2018,Number,23411.0,10012,264,Unknown,,16865242,2382,11929,787156
zip code 10013,,264,,zip code 10013,2018,Number,28709.0,10013,264,Unknown,,16865242,2382,11929,787156
zip code 10014,,264,,zip code 10014,2018,Number,30738.0,10014,264,Unknown,,16865242,2382,11929,787156
zip code 10016,,264,,zip code 10016,2018,Number,51057.0,10016,264,Unknown,,16865242,2382,11929,787156
zip code 10017,,264,,zip code 10017,2018,Number,15801.0,10017,264,Unknown,,16865242,2382,11929,787156
zip code 10018,,264,,zip code 10018,2018,Number,9687.0,10018,264,Unknown,,16865242,2382,11929,787156
zip code 10019,,264,,zip code 10019,2018,Number,43703.0,10019,264,Unknown,,16865242,2382,11929,787156
zip code 10021,,264,,zip code 10021,2018,Number,46215.0,10021,264,Unknown,,16865242,2382,11929,787156
zip code 10022,,264,,zip code 10022,2018,Number,31125.0,10022,264,Unknown,,16865242,2382,11929,787156
zip code 10023,,264,,zip code 10023,2018,Number,62435.0,10023,264,Unknown,,16865242,2382,11929,787156
zip code 10024,,264,,zip code 10024,2018,Number,59001.0,10024,264,Unknown,,16865242,2382,11929,787156
zip code 10025,,264,,zip code 10025,2018,Number,92805.0,10025,264,Unknown,,16865242,2382,11929,787156
zip code 10026,,264,,zip code 10026,2018,Number,39363.0,10026,264,Unknown,,16865242,2382,11929,787156
zip code 10027,,264,,zip code 10027,2018,Number,64548.0,10027,264,Unknown,,16865242,2382,11929,787156
zip code 10028,,264,,zip code 10028,2018,Number,47793.0,10028,264,Unknown,,16865242,2382,11929,787156
zip code 10029,,264,,zip code 10029,2018,Number,79597.0,10029,264,Unknown,,16865242,2382,11929,787156
zip code 10030,,264,,zip code 10030,2018,Number,29882.0,10030,264,Unknown,,16865242,2382,11929,787156
zip code 10031,,264,,zip code 10031,2018,Number,60254.0,10031,264,Unknown,,16865242,2382,11929,787156
zip code 10032,,264,,zip code 10032,2018,Number,64264.0,10032,264,Unknown,,16865242,2382,11929,787156
zip code 10033,,264,,zip code 10033,2018,Number,59607.0,10033,264,Unknown,,16865242,2382,11929,787156
zip code 10034,,264,,zip code 10034,2018,Number,42910.0,10034,264,Unknown,,16865242,2382,11929,787156
zip code 10035,,264,,zip code 10035,2018,Number,35743.0,10035,264,Unknown,,16865242,2382,11929,787156
zip code 10036,,264,,zip code 10036,2018,Number,27428.0,10036,264,Unknown,,16865242,2382,11929,787156
zip code 10037,,264,,zip code 10037,2018,Number,21139.0,10037,264,Unknown,,16865242,2382,11929,787156
zip code 10038,,264,,zip code 10038,2018,Number,22800.0,10038,264,Unknown,,16865242,2382,11929,787156
zip code 10039,,264,,zip code 10039,2018,Number,27726.0,10039,264,Unknown,,16865242,2382,11929,787156
zip code 10040,,264,,zip code 10040,2018,Number,44571.0,10040,264,Unknown,,16865242,2382,11929,787156
zip code 10044,,264,,zip code 10044,2018,Number,11682.0,10044,264,Unknown,,16865242,2382,11929,787156
zip code 10065,,264,,zip code 10065,2018,Number,28109.0,10065,264,Unknown,,16865242,2382,11929,787156
zip code 10069,,264,,zip code 10069,2018,Number,5085.0,10069,264,Unknown,,16865242,2382,11929,787156
zip code 10075,,264,,zip code 10075,2018,Number,21556.0,10075,264,Unknown,,16865242,2382,11929,787156
zip code 10128,,264,,zip code 10128,2018,Number,59256.0,10128,264,Unknown,,16865242,2382,11929,787156
zip code 10280,,264,,zip code 10280,2018,Number,9384.0,10280,264,Unknown,,16865242,2382,11929,787156
zip code 10282,,264,,zip code 10282,2018,Number,5593.0,10282,264,Unknown,,16865242,2382,11929,787156
zip code 10301,,264,,zip code 10301,2018,Number,38733.0,10301,264,Unknown,,16865242,2382,11929,787156
zip code 10302,,264,,zip code 10302,2018,Number,18204.0,10302,264,Unknown,,16865242,2382,11929,787156
zip code 10303,,264,,zip code 10303,2018,Number,25947.0,10303,264,Unknown,,16865242,2382,11929,787156
zip code 10304,,264,,zip code 10304,2018,Number,41064.0,10304,264,Unknown,,16865242,2382,11929,787156
zip code 10305,,264,,zip code 10305,2018,Number,42298.0,10305,264,Unknown,,16865242,2382,11929,787156
zip code 10306,,264,,zip code 10306,2018,Number,53142.0,10306,264,Unknown,,16865242,2382,11929,787156
zip code 10307,,264,,zip code 10307,2018,Number,15232.0,10307,264,Unknown,,16865242,2382,11929,787156
zip code 10308,,264,,zip code 10308,2018,Number,30186.0,10308,264,Unknown,,16865242,2382,11929,787156
zip code 10309,,264,,zip code 10309,2018,Number,33531.0,10309,264,Unknown,,16865242,2382,11929,787156
zip code 10310,,264,,zip code 10310,2018,Number,23262.0,10310,264,Unknown,,16865242,2382,11929,787156
zip code 10312,,264,,zip code 10312,2018,Number,61741.0,10312,264,Unknown,,16865242,2382,11929,787156
zip code 10314,,264,,zip code 10314,2018,Number,90761.0,10314,264,Unknown,,16865242,2382,11929,787156
zip code 10451,,264,,zip code 10451,2018,Number,47798.0,10451,264,Unknown,,16865242,2382,11929,787156
zip code 10452,,264,,zip code 10452,2018,Number,76078.0,10452,264,Unknown,,16865242,2382,11929,787156
zip code 10453,,264,,zip code 10453,2018,Number,79606.0,10453,264,Unknown,,16865242,2382,11929,787156
zip code 10454,,264,,zip code 10454,2018,Number,38203.0,10454,264,Unknown,,16865242,2382,11929,787156
zip code 10455,,264,,zip code 10455,2018,Number,42283.0,10455,264,Unknown,,16865242,2382,11929,787156
zip code 10456,,264,,zip code 10456,2018,Number,94218.0,10456,264,Unknown,,16865242,2382,11929,787156
zip code 10457,,264,,zip code 10457,2018,Number,74554.0,10457,264,Unknown,,16865242,2382,11929,787156
zip code 10458,,264,,zip code 10458,2018,Number,83960.0,10458,264,Unknown,,16865242,2382,11929,787156
zip code 10459,,264,,zip code 10459,2018,Number,48351.0,10459,264,Unknown,,16865242,2382,11929,787156
zip code 10460,,264,,zip code 10460,2018,Number,59505.0,10460,264,Unknown,,16865242,2382,11929,787156
zip code 10461,,264,,zip code 10461,2018,Number,50348.0,10461,264,Unknown,,16865242,2382,11929,787156
zip code 10462,,264,,zip code 10462,2018,Number,76756.0,10462,264,Unknown,,16865242,2382,11929,787156
