Location,matched_trip_zone,PULocationID,match_score,Location,TimeFrame,DataFormat,Data,Fips,PULocationID,Borough,Zone,fhv_trips,fhvhv_trips,green_trips,yellow_trips
jackson heights,jackson heights,129,100.0,jackson heights,2006,Number,176387.0,403,129,Queens,jackson heights,239990,1727841,157669,43858
elmhurst/corona,corona,56,90.0,elmhurst/corona,2006,Number,138593.0,404,56,Queens,corona,134033,620094,16006,8559
elmhurst/corona,corona,57,90.0,elmhurst/corona,2006,Number,138593.0,404,57,Queens,corona,5922,49978,909,293
ridgewood/glendale,glendale,102,90.0,ridgewood/glendale,2006,Number,179768.0,405,102,Queens,glendale,67370,513503,4750,2440
rego park/forest hills,forest hills,95,90.0,rego park/forest hills,2006,Number,116418.0,406,95,Queens,forest hills,129031,1329599,182178,16698
flushing,flushing,92,100.0,flushing,2006,Number,246542.0,407,92,Queens,flushing,201025,1103231,50896,6883
fresh meadows/briarwood,fresh meadows,98,90.0,fresh meadows/briarwood,2006,Number,147374.0,408,98,Queens,fresh meadows,20766,210524,2526,1922
woodhaven,woodhaven,258,100.0,woodhaven,2006,Number,138679.0,409,258,Queens,woodhaven,54602,628227,5858,3628
howard beach,howard beach,124,100.0,howard beach,2006,Number,124623.0,410,124,Queens,howard beach,22375,267762,3661,3569
bayside,bayside,16,100.0,bayside,2006,Number,117784.0,411,16,Queens,bayside,56883,461406,4854,2769
jamaica/st. albans,jamaica,130,90.0,jamaica/st. albans,2006,Number,216115.0,412,130,Queens,jamaica,108415,1343886,110395,17661
queens village,queens village,191,100.0,queens village,2006,Number,213704.0,413,191,Queens,queens village,42584,489462,9336,5123
the rockaways,,264,,the rockaways,2006,Number,120268.0,414,264,Unknown,,16865242,2382,11929,787156
st. george,saint george/new brighton,206,86.0,st. george,2006,Number,168395.0,501,206,Staten Island,saint george/new brighton,87545,364752,487,330
south beach,south beach/dongan hills,214,90.0,south beach,2006,Number,133736.0,502,214,Staten Island,south beach/dongan hills,18593,137147,118,240
tottenville,charleston/tottenville,44,90.0,tottenville,2006,Number,175246.0,503,44,Staten Island,charleston/tottenville,15693,66190,25,397
bronx,bronx park,31,90.0,bronx,2006,Number,1361473.0,36005,31,Bronx,bronx park,12047,93036,2351,619
brooklyn,brooklyn heights,33,90.0,brooklyn,2006,Number,2508820.0,36047,33,Brooklyn,brooklyn heights,108465,1165374,146314,84487
manhattan,manhattan beach,150,90.0,manhattan,2006,Number,1611581.0,36061,150,Brooklyn,manhattan beach,28614,288166,5582,1707
